Basin_ID2,Level 1 Basin,Level 1 Basin Name,Level 2 Basin,Level 2 Code,KEWASIP, Area (ha) ,ROI score,Normalised Pop density,Normalized Poverty Distribution  ,Biodiversity normalised,Climate_Vulnerability,Overall_score
104,1,Lake Victoria,H,1H,0,83226,0.83,0.76,0.793949822,0.024362418,0.182494216,0.532
105,1,Lake Victoria,H,1H,0,74383,0.86,0.75,0.74143828,0,0.223559279,0.536
106,1,Lake Victoria,H,1H,0,78327,0.85,0.74,0.732643467,0,0.221016516,0.529
107,1,Lake Victoria,H,1H,0,82701,0.82,0.63,0.590445472,0,0.26419327,0.499
108,1,Lake Victoria,J,1J,0,77457,0.82,0.63,0.640283247,0.539413002,0.315741202,0.629
109,1,Lake Victoria,J,1J,0,24519,0.8,0.68,0.708661542,0.140686694,0.311753444,0.55
110,1,Lake Victoria,J,1J,0,29905,0.84,0.7,0.726905386,0.276450479,0.209757359,0.58
111,1,Lake Victoria,J,1J,0,26221,0.89,0.76,0.803366804,0,0.184914736,0.552
112,1,Lake Victoria,J,1J,0,63369,0.95,0.72,0.756306564,0.000353393,0.162447604,0.564
113,1,Lake Victoria,J,1J,0,98552,0.88,0.73,0.756122579,0.155862596,0.271455621,0.587
114,1,Lake Victoria,J,1J,0,27009,0.98,0.74,0.739960577,0,0.206257521,0.582
115,1,Lake Victoria,K,1K,0,47077,0.97,0.8,0.833722744,0,0.185538248,0.591
116,1,Lake Victoria,K,1K,0,339992,0.95,0.72,0.750205879,0,0.212446001,0.573
117,1,Lake Victoria,K,1K,0,290511,0.85,0.66,0.653503531,0.009284664,0.265769458,0.527
118,1,Lake Victoria,L,1L,1,97703,0.75,0.66,0.673467961,0.427854037,0.256150176,0.571
119,1,Lake Victoria,L,1L,0,172961,0.15,0.36,0.246404731,0.025350995,0.287878788,0.17
120,1,Lake Victoria,L,1L,1,141256,0.72,0.64,0.619389708,0.248886492,0.268783712,0.515
121,1,Lake Victoria,L,1L,0,265867,0.2,0.37,0.260793466,0.30377102,0.287878788,0.25
122,1,Lake Victoria,H,1H,0,69259,0.88,0.76,0.787444591,0.002412755,0.205281502,0.551
123,1,Lake Victoria,H,1H,0,65102,0.81,0.68,0.678338356,0,0.236402352,0.508
124,1,Lake Victoria,H,1H,0,35413,0.84,0.66,0.602457242,0,0.230291434,0.502
125,1,Lake Victoria,L,1L,1,133758,0.28,0.46,0.361460773,0,0.287862239,0.241
126,1,Lake Victoria,A,1A,0,26973,0.87,0.7,0.75977496,0.2149795,0.193965181,0.584
127,1,Lake Victoria,A,1A,0,29627,0.79,0.68,0.710891329,0.33544259,0.18136099,0.563
128,1,Lake Victoria,A,1A,0,13853,0.88,0.75,0.802606856,0,0.181865637,0.549
129,1,Lake Victoria,A,1A,0,19638,0.86,0.74,0.8208105,0,0.209394672,0.551
130,1,Lake Victoria,A,1A,0,20601,0.9,0.74,0.832054087,0,0.213383838,0.568
131,1,Lake Victoria,A,1A,0,40175,0.86,0.73,0.799028211,0,0.195193382,0.541
132,1,Lake Victoria,A,1A,0,34416,0.87,0.76,0.824495697,0,0.167325052,0.544
133,1,Lake Victoria,A,1A,0,53793,0.86,0.74,0.824552232,0.000564495,0.208515638,0.552
134,1,Lake Victoria,B,1B,0,70632,0.77,0.62,0.640872107,0.150671874,0.303104742,0.526
135,1,Lake Victoria,B,1B,0,88376,0.82,0.68,0.709846677,0.082204978,0.291884674,0.545
136,1,Lake Victoria,B,1B,0,76472,0.82,0.68,0.717455095,0.158375072,0.335019465,0.57
137,1,Lake Victoria,B,1B,0,80663,0.81,0.7,0.724091745,0.030593754,0.221632509,0.519
138,1,Lake Victoria,B,1B,0,85932,0.81,0.71,0.723027886,0,0.285096151,0.525
139,1,Lake Victoria,B,1B,0,86202,0.81,0.73,0.755896746,0.120611625,0.246117602,0.547
140,1,Lake Victoria,B,1B,0,57656,0.83,0.73,0.773801448,0.271301669,0.192391727,0.58
141,1,Lake Victoria,C,1C,0,71012,0.8,0.66,0.676296752,0.083279055,0.296923204,0.531
142,1,Lake Victoria,C,1C,0,65794,0.81,0.77,0.823461497,0.150139274,0.300055358,0.578
143,1,Lake Victoria,C,1C,0,47044,0.82,0.67,0.67618306,0.034519545,0.200414307,0.509
144,1,Lake Victoria,C,1C,0,30869,0.85,0.71,0.739288294,0.152188535,0.178709857,0.552
145,1,Lake Victoria,D,1D,0,55596,0.87,0.75,0.792870244,0,0.131963537,0.532
146,1,Lake Victoria,D,1D,1,70398,0.83,0.71,0.754984174,0.277209805,0.180555556,0.575
147,1,Lake Victoria,D,1D,1,34680,0.86,0.76,0.808938794,0.002009643,0.148757818,0.538
148,1,Lake Victoria,D,1D,1,34558,0.87,0.78,0.832527098,0,0.139782819,0.541
149,1,Lake Victoria,E,1E,0,46747,0.82,0.7,0.729778706,0.192500131,0.103545229,0.532
